candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
128,span,llama32_1b,qwen_sender,0,0,0.6184262037277222,0.6881866455078125,0.7631475925445557,0.0017649524379521608,0.8910480737686157
128,span,llama32_1b,qwen_sender,4,4,0.6239395141601562,0.5225372314453125,0.7521210312843323,0.00325396447442472,0.9592915177345276
128,span,llama32_1b,qwen_sender,8,8,0.5840593576431274,0.538238525390625,0.8201583027839661,0.5476365089416504,0.9546798467636108
128,span,llama32_1b,qwen_sender,12,12,0.5683161020278931,0.5894927978515625,0.8633677959442139,1.0624151229858398,0.9533258676528931
128,span,llama32_1b,qwen_sender,15,15,0.5554853677749634,0.565673828125,0.8890292644500732,0.4261387586593628,0.8485063314437866
128,span,llama32_1b,qwen_receiver,0,0,0.6172294616699219,0.67919921875,0.7655410766601562,0.0017656637355685234,0.8810023069381714
128,span,llama32_1b,qwen_receiver,4,4,0.6366393566131592,0.5926055908203125,0.7267212867736816,0.004537766799330711,0.9605598449707031
128,span,llama32_1b,qwen_receiver,8,8,0.5825217962265015,0.5931243896484375,0.8143740892410278,1.2149827480316162,0.9390700459480286
128,span,llama32_1b,qwen_receiver,12,12,0.4802476763725281,0.58746337890625,0.8534348607063293,37.298240661621094,0.8871143460273743
128,span,llama32_1b,qwen_receiver,15,15,0.5486148595809937,0.5989837646484375,0.8466577529907227,4.023983955383301,0.7144981622695923
