budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.2,12,random_block,96.0,0.1875,0.18836167640984058,0.1877756118774414,0.01146863924805075,0.6323567852377892,0.011669599916785955,0.7215668186545372
0.2,12,random_token,102.0,0.19921875,0.19994527101516724,0.1992940902709961,0.01410031015984714,0.7473704665899277,0.014236821443773806,0.7458178699016571
0.2,12,recent_block,96.0,0.1875,0.015504893381148577,0.024644851684570312,0.01539776858408004,0.14102335460484028,0.013167956843972206,0.59603151679039
0.2,12,recent_token,102.0,0.19921875,0.018191693583503366,0.029499053955078125,0.015160271781496704,0.1500110812485218,0.012967552407644689,0.5985327064990997
0.2,12,sender_attn_block,96.0,0.1875,0.5838588923215866,0.5787115097045898,0.004394245916046202,0.8758488893508911,0.0043942456832155585,0.8758488893508911
0.2,12,sender_k_norm,89.279052734375,0.17437314987182617,0.13806553184986115,0.19618988037109375,0.018432772485539317,0.6052021980285645,0.01779356994666159,0.7005552351474762
0.2,12,sender_k_norm_block,96.0,0.1875,0.39715445414185524,0.3698110580444336,0.007265568885486573,0.7610531151294708,0.007331835571676493,0.7917538210749626
0.2,12,sender_kxreceived,93.566162109375,0.18274641036987305,0.2849377393722534,0.44953155517578125,0.013452618615701795,0.6772547364234924,0.012691584299318492,0.7702601104974747
0.2,12,sender_kxreceived_block,96.0,0.1875,0.6594865471124649,0.5806188583374023,0.003791178693063557,0.847437784075737,0.0037911786348558962,0.847437858581543
0.2,12,sender_received,92.6015625,0.1808624267578125,0.28714191913604736,0.4525909423828125,0.013331881957128644,0.6765739917755127,0.01257084752433002,0.7695793583989143
0.2,12,sender_received_block,96.0,0.1875,0.6594865471124649,0.5806188583374023,0.003791178693063557,0.847437784075737,0.0037911786348558962,0.847437858581543
0.2,12,uniform_block,96.0,0.1875,0.5855558812618256,0.6005134582519531,0.0035982673289254308,0.8437069952487946,0.0035982673289254308,0.8437069952487946
0.2,15,random_block,96.0,0.1875,0.18753552809357643,0.18726253509521484,0.03972760075703263,0.6697620302438736,0.03923270013183355,0.780205674469471
